;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERIE;ANO;CODUP;NOMEUP;Hiper_e_Supermercados_estabelecimentos_hab;Mercearias_e_similares_estabelecimentos_hab;Distribuicao_de_equipamentos_culturais;Livrarias_e_papelarias_M2_hab;Locadoras;Bancas_de_revista;Matricula_na_Educacao_Infantil;Matricula_no_Ensino_Fundamental;indice_de_Aproveitamento_no_Ensino_Fundamental;Matricula_no_Ensino_Medio;indice_de_Aproveitamento_no_Ensino_Medio;Quadras_campos_e_pistas_de_cooper;area_residencial_adequada;Padrao_de_acabamento;Seguranca_do_Terreno_indice_de_risco_geologico_efetivo;indice_de_Salubridade_Ambiental;Fornecimento_de_Energia_Eletrica;Possibilidade_de_acesso_Pavimentacao;Numero_de_veiculos_por_habitante;Frequencia_das_linhas_por_UP;Tranquilidade_sonora;Ausencia_de_coletivos_poluidores;area_de_verde__por_habitante;Centros_de_saude;Outros_equipamentos_de_assistencia_medica_estabelecimento_hab;Equipamentos_odontologicos_estabelecimento_habitante;APVP;Agencias_bancarias;Postos_de_gasolina;Farmacias;Espacos_publicos_para_inclusao_digital;Correios;Telefones_Publicos;Ausencia_de_crimes_contra_a_pessoa_homicidios_tentados_e_consumados;Ausencia_de_crimes_contra_o_patrimônio_roubo_e_furto;Ausencia_de_acidentes_de_trânsito;IOL_1_Abastecimento;IOL_2_Cultura;IOL_3_Educacao;IOL_4_Esportes;IOL_5_Habitacao;IOL_6_Infra-estrutura_urbana;IOL_7_Meio_Ambiente;IOL_8_Saude;IOL_9_Servicos_Urbanos;IOL_10_Seguranca_urbana;IQVU_1_Abastecimento;IQVU_2_Cultura;IQVU_3_Educacao;IQVU_4_Esportes;IQVU_5_Habitacao;IQVU_6_Infra-estrutura_urbana;IQVU_7_Meio_Ambiente;IQVU_8_Saude;IQVU_9_Servicos_Urbanos;IQVU_10_Seguranca_urbana;IOL;IQVU
SERIE HISTÓRICA;1994;1801;Bairro das Indústrias;;;0,00;5,73;;;;113,79;;55,27549824;59,32;;16,54;3,89;;;99,52;100,00;3,76;;145,10;;;0,00;;;;0,00;;;;;22,23;;31,45;105,43;0,63987;0,22348;0,80287;;0,39397;0,79215;0,94153;0,24164;0,11181;0,74030;0,63109;0,34719;0,80286;;0,39397;0,79215;0,94153;0,31076;0,21086;0,74030;0,54305;0,56663
SERIE HISTÓRICA;1994;1802;Lindéia;;;0,00;2,54;;;;126,83;;105,5161787;65,18;;12,91;4,91;;;99,51;81,29;0,98;;147,10;;;0,06;;;;0,00;;;;;19,63;;6,57;23,26;0,41610;0,07993;0,82445;;0,36637;0,74293;0,94377;0,22185;0,09291;0,24064;0,42910;0,25683;0,82445;;0,36637;0,74293;0,94377;0,30881;0,22975;0,24064;0,46537;0,49894
SERIE HISTÓRICA;1994;1803;Barreiro de Baixo;;;0,00;37,33;;;;172,29;;15,57971014;72,46;;16,92;6,49;;;99,23;77,72;4,52;;129,10;;;0,09;;;;1,66;;;;;31,94;;7,21;20,89;0,67930;0,12073;0,84895;;0,45979;0,76782;0,92003;0,59607;0,38754;0,26420;0,66842;0,29002;0,84877;;0,45979;0,76782;0,92003;0,55129;0,50956;0,26420;0,59784;0,60917
SERIE HISTÓRICA;1994;1804;Barreiro de Cima;;;0,00;10,16;;;;141,72;;55,37;64,25;;9,97;4,21;;;98,58;72,62;2,01;;143,10;;;0,07;;;;0,22;;;;;17,67;;7,40;25,20;0,43724;0,09033;0,85369;;0,30021;0,74366;0,93919;0,34840;0,11139;0,26804;0,44722;0,23290;0,85008;;0,30021;0,74366;0,93919;0,40066;0,21326;0,26804;0,48035;0,50348
SERIE HISTÓRICA;1994;1805;Jatobá;;;0,00;1,72;;;;135,01;;8,73;46,45;;4,68;2,88;;;99,41;69,47;0,97;;141,10;;;0,12;;;;0,00;;;;;8,58;;4,61;17,81;0,30825;0,12613;0,73844;;0,16300;0,76044;0,93677;0,24911;0,04526;0,18808;0,31782;0,28187;0,73843;;0,16300;0,76044;0,93677;0,31868;0,16687;0,18808;0,40516;0,43371
SERIE HISTÓRICA;1994;1806;Cardoso;;;0,00;1,81;;;;192,57;;8,90;58,72;;15,03;6,37;;;98,24;75,22;0,79;;144,10;;;0,10;;;;0,00;;;;;14,80;;12,23;39,65;0,44125;0,11322;0,72003;;0,42676;0,77011;0,94037;0,24696;0,03679;0,39465;0,45542;0,25145;0,72003;;0,42676;0,77011;0,94037;0,32622;0,14282;0,39465;0,48032;0,50836
SERIE HISTÓRICA;1994;1807;Olhos D'água;;;0,00;0,00;;;;54,40;;12,99;42,11;;2,38;2,06;;;99,17;62,71;0,50;;153,10;;;0,00;;;;0,00;;;;;14,95;;48,80;157,44;0,21790;0,26167;0,70723;;0,09066;0,60592;0,95000;0,00448;0,03711;0,86587;0,23315;0,33351;0,71125;;0,09066;0,60592;0,95000;0,05770;0,09086;0,86587;0,37793;0,39519
SERIE HISTÓRICA;1994;1901;Barro Preto;;;0,15;778,89;;;;1017,54;;316,74;79,86;;49,67;12,79;;;100,00;94,73;43,54;;132,10;;;0,15;;;;11,93;;;;;466,68;;51,11;121,52;0,66657;0,57237;0,89326;;0,84599;0,85769;0,92459;0,98277;0,98936;0,84735;0,66620;0,56509;0,89320;;0,84599;0,85769;0,92459;0,85550;0,92232;0,84735;0,87209;0,84664
SERIE HISTÓRICA;1994;1902;Centro;;;1,96;1691,69;;;;356,91;;364,82;81,99;;52,51;11,90;;;100,00;100,00;56,78;;72,10;;;0,18;;;;62,36;;;;;578,49;;0,00;0,00;0,99924;0,99977;0,89165;;0,84784;0,86328;0,75605;0,72337;0,99950;0,15904;0,99821;0,56367;0,88733;;0,84784;0,86328;0,75605;0,68455;0,74577;0,15904;0,81056;0,76349
SERIE HISTÓRICA;1994;1903;Francisco Sales;;;0,82;606,69;;;;820,92;;257,02;64,21;;48,09;11,26;;;100,00;100,00;19,55;;115,10;;;0,21;;;;17,49;;;;;212,96;;32,49;82,21;0,66597;0,99014;0,84382;;0,82102;0,82807;0,89483;0,99469;0,97330;0,67815;0,65875;0,91094;0,83859;;0,82102;0,82807;0,89483;0,79265;0,87034;0,67815;0,85266;0,80941
SERIE HISTÓRICA;1994;1904;Savassi;;;0,91;536,94;;;;653,95;;453,65;73,87;;70,77;17,09;;;100,00;100,00;13,39;;0,00;;;0,02;;;;21,00;;;;;190,95;;0,00;0,00;0,93773;0,98913;0,89857;;0,93773;0,81717;0,00000;0,82617;0,96749;0,09816;0,93228;0,91769;0,89659;;0,93773;0,81717;0,00000;0,76585;0,89646;0,09816;0,76853;0,74944
SERIE HISTÓRICA;1994;1905;Prudente de Morais;;;0,10;36,93;;;;273,78;;71,53;84,57;;47,69;13,40;;;99,25;85,40;1,85;;136,10;;;0,10;;;;2,00;;;;;43,91;;16,96;50,50;0,78930;0,54145;0,86702;;0,84223;0,78460;0,93027;0,41998;0,50505;0,48125;0,73042;0,53499;0,81373;;0,84223;0,78460;0,93027;0,41831;0,48758;0,48125;0,70348;0,68949
SERIE HISTÓRICA;1994;1906;Santo Antônio;;;0,15;104,86;;;;265,90;;199,29;83,17;;58,91;14,19;;;100,00;87,88;2,36;;97,10;;;0,04;;;;1,52;;;;;73,13;;7,12;29,33;0,71481;0,55544;0,88748;;0,89238;0,78721;0,85043;0,37219;0,53376;0,28693;0,66978;0,54886;0,84878;;0,89238;0,78721;0,85043;0,50471;0,51960;0,28693;0,68590;0,69407
SERIE HISTÓRICA;1994;1907;Anchieta/Sion;;;0,02;93,31;;;;118,61;;45,56;92,95;;55,76;13,49;;;100,00;90,16;3,32;;99,10;;;0,00;;;;1,41;;;;;73,26;;4,68;16,47;0,73641;0,52785;0,80513;;0,87639;0,79245;0,85617;0,51177;0,50937;0,19215;0,70039;0,52299;0,78846;;0,87639;0,79245;0,85617;0,50490;0,50039;0,19215;0,68363;0,67648
SERIE HISTÓRICA;1994;1908;Serra;;;0,15;199,12;;;;179,31;;40,87;91,75;;46,94;13,18;;;100,00;82,53;3,21;;131,10;;;0,04;;;;0,00;;;;;56,37;;9,42;37,25;0,59445;0,74896;0,73856;;0,83661;0,76940;0,92310;0,51633;0,30089;0,32819;0,59443;0,72117;0,73031;;0,83661;0,76940;0,92310;0,51051;0,57134;0,32819;0,65205;0,67907
SERIE HISTÓRICA;1994;1909;Mangabeiras;;;0,23;0,00;;;;796,43;;290,12;0,00;;70,54;13,27;;;98,46;97,44;1,58;;147,10;;;0,00;;;;2,26;;;;;58,82;;85,93;275,80;0,14156;0,49678;0,47927;;0,91147;0,76461;0,94377;0,52609;0,63032;0,97021;0,17490;0,49390;0,49608;;0,91147;0,76461;0,94377;0,51822;0,59836;0,97021;0,67837;0,67851
SERIE HISTÓRICA;1994;1910;Säo Bento/Sta. Lúcia;;;0,00;10,13;;;;261,33;;0,00;0,00;;48,73;14,08;;;97,05;84,49;2,31;;140,10;;;0,08;;;;0,00;;;;;32,70;;25,35;90,54;0,53544;0,34408;0,46877;;0,85257;0,76717;0,93552;0,51197;0,17231;0,67990;0,56582;0,48617;0,52793;;0,85257;0,76717;0,93552;0,49636;0,34452;0,67990;0,61701;0,64815
